year,month,is_ruen,date
1982,6,0,1982-07-21
1982,7,0,1982-08-19
1982,8,0,1982-09-17
1982,9,0,1982-10-17
1982,10,0,1982-11-15
1982,11,0,1982-12-15
1983,12,0,1983-01-14
1983,1,0,1983-02-13
1983,2,0,1983-03-15
1983,3,0,1983-04-13
1983,4,0,1983-05-13
1983,5,0,1983-06-11
1983,6,0,1983-07-10
1983,7,0,1983-08-09
1983,8,0,1983-09-07
1983,9,0,1983-10-06
1983,10,0,1983-11-05
1983,11,0,1983-12-04
1984,12,0,1984-01-03
1984,1,0,1984-02-02
1984,2,0,1984-03-03
1984,3,0,1984-04-01
1984,4,0,1984-05-01
1984,5,0,1984-05-31
1984,6,0,1984-06-29
1984,7,0,1984-07-28
1984,8,0,1984-08-27
1984,9,0,1984-09-25
1984,10,0,1984-10-24
1984,10,1,1984-11-23
1984,11,0,1984-12-22
1985,12,0,1985-01-21
1985,1,0,1985-02-20
1985,2,0,1985-03-21
1985,3,0,1985-04-20
1985,4,0,1985-05-20
1985,5,0,1985-06-18
1985,6,0,1985-07-18
1985,7,0,1985-08-16
1985,8,0,1985-09-15
1985,9,0,1985-10-14
1985,10,0,1985-11-12
1985,11,0,1985-12-12
1986,12,0,1986-01-10
1986,1,0,1986-02-09
1986,2,0,1986-03-10
1986,3,0,1986-04-09
1986,4,0,1986-05-09
1986,5,0,1986-06-07
1986,6,0,1986-07-07
1986,7,0,1986-08-06
1986,8,0,1986-09-04
1986,9,0,1986-10-04
1986,10,0,1986-11-02
1986,11,0,1986-12-02
1986,12,0,1986-12-31
1987,1,0,1987-01-29
1987,2,0,1987-02-28
1987,3,0,1987-03-29
1987,4,0,1987-04-28
1987,5,0,1987-05-27
1987,6,0,1987-06-26
1987,6,1,1987-07-26
1987,7,0,1987-08-24
1987,8,0,1987-09-23
1987,9,0,1987-10-23
1987,10,0,1987-11-21
1987,11,0,1987-12-21
1988,12,0,1988-01-19
1988,1,0,1988-02-17
1988,2,0,1988-03-18
1988,3,0,1988-04-16
1988,4,0,1988-05-16
1988,5,0,1988-06-14
1988,6,0,1988-07-14
1988,7,0,1988-08-12
1988,8,0,1988-09-11
1988,9,0,1988-10-11
1988,10,0,1988-11-09
1988,11,0,1988-12-09
1989,12,0,1989-01-08
1989,1,0,1989-02-06
1989,2,0,1989-03-08
1989,3,0,1989-04-06
1989,4,0,1989-05-05
1989,5,0,1989-06-04
1989,6,0,1989-07-03
1989,7,0,1989-08-02
1989,8,0,1989-08-31
1989,9,0,1989-09-30
1989,10,0,1989-10-29
1989,11,0,1989-11-28
1989,12,0,1989-12-28
1990,1,0,1990-01-27
1990,2,0,1990-02-25
1990,3,0,1990-03-27
1990,4,0,1990-04-25
1990,5,0,1990-05-24
1990,5,1,1990-06-23
1990,6,0,1990-07-22
1990,7,0,1990-08-20
1990,8,0,1990-09-19
1990,9,0,1990-10-18
1990,10,0,1990-11-17
1990,11,0,1990-12-17
1991,12,0,1991-01-16
1991,1,0,1991-02-15
1991,2,0,1991-03-16
1991,3,0,1991-04-15
1991,4,0,1991-05-14
1991,5,0,1991-06-12
1991,6,0,1991-07-12
1991,7,0,1991-08-10
1991,8,0,1991-09-08
1991,9,0,1991-10-08
1991,10,0,1991-11-06
1991,11,0,1991-12-06
1992,12,0,1992-01-05
1992,1,0,1992-02-04
1992,2,0,1992-03-04
1992,3,0,1992-04-03
1992,4,0,1992-05-03
1992,5,0,1992-06-01
1992,6,0,1992-06-30
1992,7,0,1992-07-30
1992,8,0,1992-08-28
1992,9,0,1992-09-26
1992,10,0,1992-10-26
1992,11,0,1992-11-24
1992,12,0,1992-12-24
1993,1,0,1993-01-23
1993,2,0,1993-02-21
1993,3,0,1993-03-23
1993,3,1,1993-04-22
1993,4,0,1993-05-21
1993,5,0,1993-06-20
1993,6,0,1993-07-19
1993,7,0,1993-08-18
1993,8,0,1993-09-16
1993,9,0,1993-10-15
1993,10,0,1993-11-14
1993,11,0,1993-12-13
1994,12,0,1994-01-12
1994,1,0,1994-02-10
1994,2,0,1994-03-12
1994,3,0,1994-04-11
1994,4,0,1994-05-11
1994,5,0,1994-06-09
1994,6,0,1994-07-09
1994,7,0,1994-08-07
1994,8,0,1994-09-06
1994,9,0,1994-10-05
1994,10,0,1994-11-03
1994,11,0,1994-12-03
1995,12,0,1995-01-01
1995,1,0,1995-01-31
1995,2,0,1995-03-01
1995,3,0,1995-03-31
1995,4,0,1995-04-30
1995,5,0,1995-05-29
1995,6,0,1995-06-28
1995,7,0,1995-07-27
1995,8,0,1995-08-26
1995,8,1,1995-09-25
1995,9,0,1995-10-24
1995,10,0,1995-11-22
1995,11,0,1995-12-22
1996,12,0,1996-01-20
1996,1,0,1996-02-19
1996,2,0,1996-03-19
1996,3,0,1996-04-18
1996,4,0,1996-05-17
1996,5,0,1996-06-16
1996,6,0,1996-07-16
1996,7,0,1996-08-14
1996,8,0,1996-09-13
1996,9,0,1996-10-12
1996,10,0,1996-11-11
1996,11,0,1996-12-11
1997,12,0,1997-01-09
1997,1,0,1997-02-07
1997,2,0,1997-03-09
1997,3,0,1997-04-07
1997,4,0,1997-05-07
1997,5,0,1997-06-05
1997,6,0,1997-07-05
1997,7,0,1997-08-03
1997,8,0,1997-09-02
1997,9,0,1997-10-02
1997,10,0,1997-10-31
1997,11,0,1997-11-30
1997,12,0,1997-12-30
1998,1,0,1998-01-28
1998,2,0,1998-02-27
1998,3,0,1998-03-28
1998,4,0,1998-04-26
1998,5,0,1998-05-26
1998,5,1,1998-06-24
1998,6,0,1998-07-23
1998,7,0,1998-08-22
1998,8,0,1998-09-21
1998,9,0,1998-10-20
1998,10,0,1998-11-19
1998,11,0,1998-12-19
1999,12,0,1999-01-17
1999,1,0,1999-02-16
1999,2,0,1999-03-18
1999,3,0,1999-04-16
1999,4,0,1999-05-15
1999,5,0,1999-06-14
1999,6,0,1999-07-13
1999,7,0,1999-08-11
1999,8,0,1999-09-10
1999,9,0,1999-10-09
1999,10,0,1999-11-08
1999,11,0,1999-12-08
2000,12,0,2000-01-07
2000,1,0,2000-02-05
2000,2,0,2000-03-06
2000,3,0,2000-04-05
2000,4,0,2000-05-04
2000,5,0,2000-06-02
2000,6,0,2000-07-02
2000,7,0,2000-07-31
2000,8,0,2000-08-29
2000,9,0,2000-09-28
2000,10,0,2000-10-27
2000,11,0,2000-11-26
2000,12,0,2000-12-26
2001,1,0,2001-01-24
2001,2,0,2001-02-23
2001,3,0,2001-03-25
2001,4,0,2001-04-23
2001,4,1,2001-05-23
2001,5,0,2001-06-21
2001,6,0,2001-07-21
2001,7,0,2001-08-19
2001,8,0,2001-09-17
2001,9,0,2001-10-17
2001,10,0,2001-11-15
2001,11,0,2001-12-15
2002,12,0,2002-01-13
2002,1,0,2002-02-12
2002,2,0,2002-03-14
2002,3,0,2002-04-13
2002,4,0,2002-05-12
2002,5,0,2002-06-11
2002,6,0,2002-07-10
2002,7,0,2002-08-09
2002,8,0,2002-09-07
2002,9,0,2002-10-06
2002,10,0,2002-11-05
2002,11,0,2002-12-04
2003,12,0,2003-01-03
2003,1,0,2003-02-01
2003,2,0,2003-03-03
2003,3,0,2003-04-02
2003,4,0,2003-05-01
2003,5,0,2003-05-31
2003,6,0,2003-06-30
2003,7,0,2003-07-29
2003,8,0,2003-08-28
2003,9,0,2003-09-26
2003,10,0,2003-10-25
2003,11,0,2003-11-24
2003,12,0,2003-12-23
2004,1,0,2004-01-22
2004,2,0,2004-02-20
2004,2,1,2004-03-21
2004,3,0,2004-04-19
