year,month,is_ruen,shuo_time,wang_time,lunar_year,status,source_ref,notes
1961,8,0,1961-09-10T10:49+08:00,1961-09-24T19:33+08:00,辛丑,confirmed,hko+lunar,
1961,9,0,1961-10-10T02:52+08:00,1961-10-24T05:30+08:00,辛丑,confirmed,hko+lunar,
1961,10,0,1961-11-08T17:58+08:00,1961-11-22T17:43+08:00,辛丑,confirmed,hko+lunar,
1961,11,0,1961-12-08T07:51+08:00,1961-12-22T08:41+08:00,辛丑,confirmed,hko+lunar,
1962,12,0,1962-01-06T20:35+08:00,1962-01-21T02:16+08:00,辛丑,confirmed,hko+lunar,
1962,1,0,1962-02-05T08:09+08:00,1962-02-19T21:17+08:00,壬寅,confirmed,hko+lunar,
1962,2,0,1962-03-06T18:30+08:00,1962-03-21T15:55+08:00,壬寅,confirmed,hko+lunar,
1962,3,0,1962-04-05T03:44+08:00,1962-04-20T08:33+08:00,壬寅,confirmed,hko+lunar,
1962,4,0,1962-05-04T12:24+08:00,1962-05-19T22:31+08:00,壬寅,confirmed,hko+lunar,
1962,5,0,1962-06-02T21:26+08:00,1962-06-18T10:02+08:00,壬寅,confirmed,hko+lunar,
1962,6,0,1962-07-02T07:52+08:00,1962-07-17T19:40+08:00,壬寅,confirmed,hko+lunar,
1962,7,0,1962-07-31T20:23+08:00,1962-08-16T04:09+08:00,壬寅,confirmed,hko+lunar,
1962,8,0,1962-08-30T11:08+08:00,1962-09-14T12:11+08:00,壬寅,confirmed,hko+lunar,
1962,9,0,1962-09-29T03:39+08:00,1962-10-13T20:32+08:00,壬寅,confirmed,hko+lunar,
1962,10,0,1962-10-28T21:04+08:00,1962-11-12T06:03+08:00,壬寅,confirmed,hko+lunar,
1962,11,0,1962-11-27T14:29+08:00,1962-12-11T17:27+08:00,壬寅,confirmed,hko+lunar,
1962,12,0,1962-12-27T06:58+08:00,1963-01-10T07:07+08:00,壬寅,confirmed,hko+lunar,
1963,1,0,1963-01-25T21:41+08:00,1963-02-08T22:51+08:00,癸卯,confirmed,hko+lunar,
1963,2,0,1963-02-24T10:05+08:00,1963-03-10T15:48+08:00,癸卯,confirmed,hko+lunar,
1963,3,0,1963-03-25T20:09+08:00,1963-04-09T08:56+08:00,癸卯,confirmed,hko+lunar,
1963,4,0,1963-04-24T04:28+08:00,1963-05-09T01:23+08:00,癸卯,confirmed,hko+lunar,
1963,4,1,1963-05-23T11:59+08:00,1963-06-07T16:30+08:00,癸卯,confirmed,hko+lunar,闰四月
1963,5,0,1963-06-21T19:45+08:00,1963-07-07T05:55+08:00,癸卯,confirmed,hko+lunar,
1963,6,0,1963-07-21T04:42+08:00,1963-08-05T17:30+08:00,癸卯,confirmed,hko+lunar,
1963,7,0,1963-08-19T15:34+08:00,1963-09-04T03:33+08:00,癸卯,confirmed,hko+lunar,
1963,8,0,1963-09-18T04:50+08:00,1963-10-03T12:43+08:00,癸卯,confirmed,hko+lunar,
1963,9,0,1963-10-17T20:42+08:00,1963-11-01T21:55+08:00,癸卯,confirmed,hko+lunar,
1963,10,0,1963-11-16T14:50+08:00,1963-12-01T07:53+08:00,癸卯,confirmed,hko+lunar,
1963,11,0,1963-12-16T10:06+08:00,1963-12-30T19:03+08:00,癸卯,confirmed,hko+lunar,
1964,12,0,1964-01-15T04:43+08:00,1964-01-29T07:22+08:00,癸卯,confirmed,hko+lunar,
1964,1,0,1964-02-13T21:01+08:00,1964-02-27T20:39+08:00,甲辰,confirmed,hko+lunar,
1964,2,0,1964-03-14T10:13+08:00,1964-03-28T10:48+08:00,甲辰,confirmed,hko+lunar,
1964,3,0,1964-04-12T20:37+08:00,1964-04-27T01:49+08:00,甲辰,confirmed,hko+lunar,
1964,4,0,1964-05-12T05:01+08:00,1964-05-26T17:28+08:00,甲辰,confirmed,hko+lunar,
1964,5,0,1964-06-10T12:22+08:00,1964-06-25T09:07+08:00,甲辰,confirmed,hko+lunar,
1964,6,0,1964-07-09T19:30+08:00,1964-07-24T23:57+08:00,甲辰,confirmed,hko+lunar,
1964,7,0,1964-08-08T03:16+08:00,1964-08-23T13:24+08:00,甲辰,confirmed,hko+lunar,
1964,8,0,1964-09-06T12:33+08:00,1964-09-22T01:30+08:00,甲辰,confirmed,hko+lunar,
1964,9,0,1964-10-06T00:19+08:00,1964-10-21T12:44+08:00,甲辰,confirmed,hko+lunar,
1964,10,0,1964-11-04T15:16+08:00,1964-11-19T23:42+08:00,甲辰,confirmed,hko+lunar,
1964,11,0,1964-12-04T09:18+08:00,1964-12-19T10:41+08:00,甲辰,confirmed,hko+lunar,
1965,12,0,1965-01-03T05:06+08:00,1965-01-17T21:37+08:00,甲辰,confirmed,hko+lunar,
1965,1,0,1965-02-02T00:35+08:00,1965-02-16T08:26+08:00,乙巳,confirmed,hko+lunar,
1965,2,0,1965-03-03T17:55+08:00,1965-03-17T19:23+08:00,乙巳,confirmed,hko+lunar,
1965,3,0,1965-04-02T08:20+08:00,1965-04-16T07:01+08:00,乙巳,confirmed,hko+lunar,
1965,4,0,1965-05-01T19:55+08:00,1965-05-15T19:51+08:00,乙巳,confirmed,hko+lunar,
1965,5,0,1965-05-31T05:12+08:00,1965-06-14T09:59+08:00,乙巳,confirmed,hko+lunar,
1965,6,0,1965-06-29T12:52+08:00,1965-07-14T01:01+08:00,乙巳,confirmed,hko+lunar,
1965,7,0,1965-07-28T19:44+08:00,1965-08-12T16:22+08:00,乙巳,confirmed,hko+lunar,
1965,8,0,1965-08-27T02:50+08:00,1965-09-11T07:31+08:00,乙巳,confirmed,hko+lunar,
1965,9,0,1965-09-25T11:17+08:00,1965-10-10T22:13+08:00,乙巳,confirmed,hko+lunar,
1965,10,0,1965-10-24T22:11+08:00,1965-11-09T12:15+08:00,乙巳,confirmed,hko+lunar,
1965,11,0,1965-11-23T12:09+08:00,1965-12-09T01:21+08:00,乙巳,confirmed,hko+lunar,
1965,12,0,1965-12-23T05:02+08:00,1966-01-07T13:15+08:00,乙巳,confirmed,hko+lunar,
1966,1,0,1966-01-21T23:46+08:00,1966-02-05T23:57+08:00,丙午,confirmed,hko+lunar,
1966,2,0,1966-02-20T18:48+08:00,1966-03-07T09:45+08:00,丙午,confirmed,hko+lunar,
1966,3,0,1966-03-22T12:45+08:00,1966-04-05T19:13+08:00,丙午,confirmed,hko+lunar,
1966,3,1,1966-04-21T04:34+08:00,1966-05-05T05:00+08:00,丙午,confirmed,hko+lunar,闰三月
1966,4,0,1966-05-20T17:42+08:00,1966-06-03T15:40+08:00,丙午,confirmed,hko+lunar,
1966,5,0,1966-06-19T04:08+08:00,1966-07-03T03:36+08:00,丙午,confirmed,hko+lunar,
1966,6,0,1966-07-18T12:30+08:00,1966-08-01T17:05+08:00,丙午,confirmed,hko+lunar,
1966,7,0,1966-08-16T19:47+08:00,1966-08-31T08:13+08:00,丙午,confirmed,hko+lunar,
1966,8,0,1966-09-15T03:13+08:00,1966-09-30T00:47+08:00,丙午,confirmed,hko+lunar,
1966,9,0,1966-10-14T11:51+08:00,1966-10-29T17:59+08:00,丙午,confirmed,hko+lunar,
1966,10,0,1966-11-12T22:26+08:00,1966-11-28T10:40+08:00,丙午,confirmed,hko+lunar,
1966,11,0,1966-12-12T11:13+08:00,1966-12-28T01:43+08:00,丙午,confirmed,hko+lunar,
1967,12,0,1967-01-11T02:05+08:00,1967-01-26T14:40+08:00,丙午,confirmed,hko+lunar,
1967,1,0,1967-02-09T18:43+08:00,1967-02-25T01:43+08:00,丁未,confirmed,hko+lunar,
1967,2,0,1967-03-11T12:29+08:00,1967-03-26T11:20+08:00,丁未,confirmed,hko+lunar,
1967,3,0,1967-04-10T06:20+08:00,1967-04-24T20:03+08:00,丁未,confirmed,hko+lunar,
1967,4,0,1967-05-09T22:55+08:00,1967-05-24T04:22+08:00,丁未,confirmed,hko+lunar,
1967,5,0,1967-06-08T13:13+08:00,1967-06-22T12:56+08:00,丁未,confirmed,hko+lunar,
1967,6,0,1967-07-08T00:59+08:00,1967-07-21T22:39+08:00,丁未,confirmed,hko+lunar,
1967,7,0,1967-08-06T10:48+08:00,1967-08-20T10:26+08:00,丁未,confirmed,hko+lunar,
1967,8,0,1967-09-04T19:36+08:00,1967-09-19T00:59+08:00,丁未,confirmed,hko+lunar,
